Gene	NCBI gene ID	Chromosome	Locus	No of Studies	Proteins
DYRK1B	9149	19	19q13.2	13	XP_005259455;XP_047295623;XP_047295624;XP_047295625;XP_054178558;XP_054178559;XP_054178560;XP_054178561;XP_054187621;XP_054187622;XP_054187623;XP_054187624;NP_004705;NP_006474;NP_006475;Q9Y463;M0R131;M0R2X3;ENSP00000469863;ENSP00000312789;ENSP00000221803;ENSP00000472941;ENSP00000403182;ENSP00000471609;ENSP00000472861
DYRK2	8445	12	12q15	21	XP_016875521;NP_003574;NP_006473;Q92630;A0A0A0MR56;F5GXG1;F5H5L5;ENSP00000440839;ENSP00000342105;ENSP00000377186;ENSP00000324733;ENSP00000443314
DYSF	8291	2	2p13.2	51	NP_001123927;NP_001124448;NP_001124449;NP_001124450;NP_001124451;NP_001124452;NP_001124453;NP_001124454;NP_001124455;NP_001124456;NP_001124457;NP_001124458;NP_001124459;NP_003485;O75923;A0A8V8TLD2;A0A8V8TLV7;A0A8V8TMV5;A0A8V8TN49;B7Z2R1;ENSP00000258104;ENSP00000386547;ENSP00000387137;ENSP00000407046;ENSP00000398305;ENSP00000386881;ENSP00000377678;ENSP00000386512;ENSP00000386683;ENSP00000386285;ENSP00000386617;ENSP00000513536;ENSP00000513537;ENSP00000513538;ENSP00000513539;ENSP00000513540
DZANK1	55184	20	20p11.23	6	XP_006723647;XP_011527570;XP_011527574;XP_011527579;XP_016883399;XP_016883400;XP_016883401;XP_016883402;XP_016883404;XP_016883405;XP_016883410;XP_024307702;XP_047296204;XP_047296205;XP_047296206;XP_047296207;XP_047296208;XP_047296209;XP_054179561;XP_054179562;XP_054179563;XP_054179564;XP_054179565;XP_054179566;XP_054179567;XP_054179568;XP_054179569;XP_054179570;XP_054179571;XP_054179572;XP_054179573;XP_054179574;XP_054179575;XP_054179576;XP_054179577;XP_054179578;XP_054179579;XP_054179580;XP_054179581;XP_054179582;NP_001092877;NP_001338612;NP_001338613;NP_001354540;NP_001354541;NP_001354542;NP_001354543;NP_001354546;NP_001354547;NP_001354548;NP_060622;Q9NVP4;A0A087WTH2;A0A087WVH4;A0A087X236;A0A0A0MRE2;A0A8V8TNE5;A0A8V8TNH6;A0A8V8TNM4;A0A8V8TNY6;A0A8V8TNZ7;A0A8V8TPU7;C9J2A8;V9GY46;ENSP00000479439;ENSP00000366857;ENSP00000514418;ENSP00000514442;ENSP00000262547;ENSP00000349774;ENSP00000351734;ENSP00000476391;ENSP00000514460;ENSP00000514461;ENSP00000514474;ENSP00000477046;ENSP00000328866;ENSP00000484666;ENSP00000477872;ENSP00000514462
E2F1	1869	20	20q11.22	15	XP_047295917;XP_054179108;NP_005216;Q01094;ENSP00000345571
E2F3	1871	6	6p22.3	21	XP_005248922;XP_005248923;XP_011512626;XP_011512630;XP_016865819;XP_047274221;XP_047274222;XP_054210395;XP_054210396;XP_054210397;XP_054210398;XP_054210399;XP_054210400;XP_054210401;NP_001230005;NP_001940;O00716;ENSP00000262904;ENSP00000443418
E2F4	1874	16	16q22.1	33	NP_001941;Q16254;H3BMP3;H3BTM3;H3BVE4;I3L1B6;ENSP00000368686;ENSP00000454477;ENSP00000458082;ENSP00000457239;ENSP00000458706
E2F5	1875	8	8q21.2	7	NP_001077057;NP_001077058;NP_001942;Q15329;C9JYE9;E5RHD4;H0YBK0;H0YBW8;ENSP00000398124;ENSP00000414312;ENSP00000256117;ENSP00000429120;ENSP00000428606;ENSP00000429669;ENSP00000430461
E2F6	1876	2	2p25.1	3	XP_047299557;XP_047299558;XP_054196893;XP_054196894;XP_054196895;XP_054196896;XP_054196897;NP_001265204;NP_001265205;NP_001265206;NP_001265207;NP_937987;NP_997705;O75461;F8WC40;F8WEZ5;Q2Z196;Q2Z197;ENSP00000407650;ENSP00000413678;ENSP00000370936;ENSP00000302159;ENSP00000446315;ENSP00000438864;ENSP00000403449;ENSP00000406891;ENSP00000389113
E2F7	144455	12	12q21.2	6	XP_011536268;XP_011536271;XP_054227166;XP_054227167;NP_976328;Q96AV8;F8VSE7;H0YHW2;H0YIF4;F8VXV5;ENSP00000393639;ENSP00000323246;ENSP00000448245;ENSP00000447963;ENSP00000449284;ENSP00000449033
E2F8	79733	11	11p15.1	18	XP_011518669;XP_047283552;XP_047283553;XP_047283554;XP_054225931;XP_054225932;XP_054225933;XP_054225934;NP_001243300;NP_001243301;NP_078956;A0AVK6;E9PMT9;ENSP00000250024;ENSP00000434199;ENSP00000481103;ENSP00000437326
E4F1	1877	16	16p13.3	29	XP_005255212;XP_005255213;XP_006720921;XP_011520704;XP_016878499;XP_047289652;XP_047289653;XP_047289654;XP_047289655;XP_054235707;XP_054235708;XP_054235709;XP_054235710;XP_054235711;XP_054235712;XP_054235713;XP_054235714;XP_054235715;NP_001275705;NP_001275707;NP_004415;Q66K89;H3BUJ7;H3BN24;H3BQZ4;H3BSL4;ENSP00000456760;ENSP00000301727;ENSP00000457672;ENSP00000456005;ENSP00000454652
EAF1	85403	3	3p25.1	46	XP_011532467;XP_011532468;XP_054204132;XP_054204133;NP_149074;Q96JC9;F8WFA5;ENSP00000399636;ENSP00000380054
EAF2	55840	3	3q13.33	11	XP_005247675;XP_016862350;XP_016862352;XP_047304532;XP_047304533;XP_054203230;XP_054203231;XP_054203232;XP_054203233;XP_054203234;NP_001306970;NP_060926;Q96CJ1;B4DWJ3;F8WCI9;F8WF04;ENSP00000418374;ENSP00000273668;ENSP00000410708;ENSP00000419552
EAPP	55837	14	14q13.1	39	NP_001305845;NP_060923;Q56P03;G3V2W9;G3V5N6;ENSP00000250454;ENSP00000450908;ENSP00000452439
EARS2	124454	16	16p12.2	33	XP_011544040;XP_054235587;NP_001077083;NP_001295140;Q5JPH6;H3BTB7;H3BPY3;H3BQI0;H3BQP8;I3L166;ENSP00000395196;ENSP00000501251;ENSP00000457107;ENSP00000456218;ENSP00000455789;ENSP00000455519;ENSP00000455875;ENSP00000458604
EBAG9	9166	8	8q23.2	43	XP_016869449;XP_047278368;XP_047278369;XP_054217468;XP_054217469;NP_001265867;NP_004206;NP_936056;O00559;A0A8V8TPH5;E9PND3;A0A8V8TNL5;E9PJ38;E9PJ40;E9PN10;ENSP00000379131;ENSP00000435687;ENSP00000514313;ENSP00000477734;ENSP00000337675;ENSP00000514314;ENSP00000437214;ENSP00000434878;ENSP00000477645;ENSP00000435689;ENSP00000432082;ENSP00000514315
EBF1	1879	5	5q33.3	14	XP_016864683;XP_016864686;XP_016864688;XP_016864689;XP_016864691;XP_016864692;XP_024310158;XP_024310159;XP_047272844;XP_047272845;XP_047272846;XP_047272847;XP_047272848;XP_054207933;XP_054207934;XP_054207935;XP_054207936;XP_054207937;XP_054207938;XP_054207939;XP_054207940;XP_054207941;XP_054207942;XP_054207943;XP_054207944;XP_054207945;NP_001277289;NP_001311030;NP_001311032;NP_001311035;NP_001311036;NP_001311037;NP_001311038;NP_001311040;NP_001351084;NP_001351085;NP_001351086;NP_001351087;NP_001351088;NP_076870;NP_874367;Q9UH73;E5RFQ1;A0A087WTE5;ENSP00000477809;ENSP00000322898;ENSP00000370029;ENSP00000428020
EBNA1BP2	10969	1	1p34.2	34	XP_047297445;NP_001153408;NP_006815;Q99848;H7C2Q8;ENSP00000407323;ENSP00000236051
ECD	11319	10	10q22.2	26	NP_001129224;NP_001129225;NP_009196;O95905;C9J316;C9JGV1;F2Z2R1;S4R458;ENSP00000475102;ENSP00000362070;ENSP00000433778;ENSP00000395786;ENSP00000401566;ENSP00000391367;ENSP00000416288
ECE1	1889	1	1p36.12	43	XP_006710461;XP_011539174;XP_011539175;XP_047304052;XP_054190788;XP_054190789;XP_054190790;XP_054190791;NP_001106818;NP_001106819;NP_001106820;NP_001388;P42892;A0A3B3ISF9;B4DKB2;E9PHZ1;E9PJG1;E9PN99;ENSP00000405088;ENSP00000364028;ENSP00000497333;ENSP00000349581;ENSP00000388439;ENSP00000264205;ENSP00000431856;ENSP00000436633;ENSP00000432860
ECH1	1891	19	19q13.2	58	XP_016881937;NP_001389;Q13011;M0QXS7;M0QZF6;M0QZW4;M0QZX8;M0R1A2;M0R248;M0R280;ENSP00000221418;ENSP00000472322;ENSP00000470839;ENSP00000470809;ENSP00000469354;ENSP00000471738;ENSP00000472378;ENSP00000470519
ECHDC1	55862	6	6q22.33	49	XP_005267104;XP_011534245;XP_047275027;XP_047275028;XP_047275029;XP_047275030;XP_054211896;XP_054211897;XP_054211898;XP_054211899;XP_054211900;XP_054211901;NP_001002030;NP_001099014;NP_001099015;NP_001132982;NP_060949;Q9NTX5;E9PIU8;E9PJS8;E9PLY6;E9PPG7;E9PRU6;F2Z2D6;H0Y525;H0Y5L2;H0YCS9;H0YD54;J3KP84;ENSP00000436585;ENSP00000401751;ENSP00000434908;ENSP00000357278;ENSP00000436109;ENSP00000404866;ENSP00000420711;ENSP00000357274;ENSP00000399233;ENSP00000402492;ENSP00000357272;ENSP00000396096;ENSP00000436703;ENSP00000432265;ENSP00000433015;ENSP00000435068;ENSP00000435502;ENSP00000433874;ENSP00000434143
ECHDC2	55268	1	1p32.3	23	XP_024303921;XP_024303927;XP_024303928;XP_024303929;XP_047280287;XP_047280289;XP_047280291;XP_047280300;XP_047280328;XP_047280329;XP_047280330;XP_047280331;XP_047280332;XP_047280334;XP_047280335;XP_054193414;XP_054193415;XP_054193416;XP_054193417;XP_054193418;XP_054193419;XP_054193420;XP_054193421;XP_054193422;XP_054193423;XP_054193424;XP_054193425;XP_054193426;XP_054193427;NP_001185890;NP_001185891;NP_001306887;NP_060751;Q86YB7;F5GWU3;F5H0R2;F5H2K9;F5H408;F5H4W3;F6RJU0;ENSP00000360577;ENSP00000439264;ENSP00000360575;ENSP00000351125;ENSP00000446190;ENSP00000441962;ENSP00000439906;ENSP00000438535
ECHDC3	79746	10	10p14	36	XP_011517991;XP_047281706;XP_054222709;XP_054222710;NP_078969;Q96DC8;Q5W0J6;Q5W0J8;ENSP00000368517;ENSP00000405584;ENSP00000398429
ECHS1	1892	10	10q26.3	55	NP_004083;P30084;ENSP00000357535
ECI1	1632	16	16p13.3	41	NP_001171500;NP_001910;P42126;H3BS70;Q96DC0;ENSP00000301729;ENSP00000456319;ENSP00000457900;ENSP00000456565
ECI2	10455	6	6p25.2	47	NP_001159482;NP_006108;NP_996667;O75521;A0A0C4DGA2;C9JB63;F1LLU7;F8W6J1;F8WAW4;ENSP00000369468;ENSP00000417170;ENSP00000369463;ENSP00000417803;ENSP00000369461;ENSP00000354737;ENSP00000420309;ENSP00000417459
ECM1	1893	1	1q21.2	41	NP_001189787;NP_004416;NP_073155;Q16610;ENSP00000358045;ENSP00000271630;ENSP00000358043
ECM2	1842	9	9q22.31	43	XP_016869865;XP_024303203;XP_024303204;XP_047278855;XP_054189060;XP_054189061;XP_054189062;XP_054218206;XP_054218207;XP_054218208;NP_001184224;NP_001184225;NP_001384;O94769;Q5T9F3;Q5T9F4;ENSP00000393971;ENSP00000344758;ENSP00000364690;ENSP00000378905
ECPAS	23392	9	9q31.3	43	F6XAQ5;J3KN16;NP_001073867.1;NP_001350685.1;Q5VYK3;R4GMY1;R4GMY3;XP_005251907.1;XP_005251908.1;XP_005251909.1;XP_005251910.1;XP_011516724.1;XP_016870046.1
ECSIT	51295	19	19p13.2	31	NP_001135936;NP_001135937;NP_001230133;NP_057665;Q9BQ95;J3KTF5;A0A8I5KR62;K7EIK2;K7EJG5;K7EJI1;K7EM98;K7EN32;K7EPL5;K7ESM8;ENSP00000468783;ENSP00000270517;ENSP00000252440;ENSP00000508502;ENSP00000510386;ENSP00000462957;ENSP00000510792;ENSP00000465162;ENSP00000412712;ENSP00000466559;ENSP00000466762;ENSP00000464783;ENSP00000467436;ENSP00000465181;ENSP00000466415
ECT2	1894	3	3q26.31	41	XP_006713587;XP_047303563;XP_047303564;XP_047303565;XP_047303566;XP_047303567;XP_047303568;XP_047303569;XP_047303570;XP_047303571;XP_047303572;XP_047303573;XP_047303574;XP_047303575;XP_047303576;XP_047303577;XP_047303578;XP_047303579;XP_047303580;XP_047303581;XP_047303582;XP_047303583;XP_047303584;XP_047303585;XP_047303586;XP_047303587;XP_047303588;XP_047303589;XP_047303590;XP_047303591;XP_047303592;XP_047303593;XP_047303594;XP_047303595;XP_054201507;XP_054201508;XP_054201509;XP_054201510;XP_054201511;XP_054201512;XP_054201513;XP_054201514;XP_054201515;XP_054201516;XP_054201517;XP_054201518;XP_054201519;XP_054201520;XP_054201521;XP_054201522;XP_054201523;XP_054201524;XP_054201525;XP_054201526;XP_054201527;XP_054201528;XP_054201529;XP_054201530;XP_054201531;XP_054201532;XP_054201533;XP_054201534;XP_054201535;XP_054201536;XP_054201537;XP_054201538;XP_054201539;XP_054201540;NP_001245244;NP_001245245;NP_001336023;NP_001336024;NP_001336025;NP_001336026;NP_001336027;NP_001336028;NP_001336029;NP_001336030;NP_001336031;NP_001336032;NP_001336033;NP_060568;Q9H8V3;H7C3G1;C9J0L6;C9J1C4;C9JB41;C9JDB4;C9JDV9;C9JTI2;H7C103;ENSP00000232458;ENSP00000443160;ENSP00000376457;ENSP00000415876;ENSP00000403501;ENSP00000403446;ENSP00000412331;ENSP00000391695;ENSP00000412028;ENSP00000389108;ENSP00000412259;ENSP00000411674;ENSP00000397788
EDARADD	128178	1	1q42.3-q43	9	NP_542776;NP_665860;Q8WWZ3;A0A1B0GV26;A0A2R8Y5E0;B1AL55;ENSP00000490347;ENSP00000405815;ENSP00000335076;ENSP00000352320;ENSP00000494458
EDC3	80153	15	15q24.1	51	XP_011520394;XP_024305845;XP_024305847;XP_047289099;XP_054234892;XP_054234893;XP_054234894;XP_054234895;NP_001135915;NP_001135916;NP_001338307;NP_001338308;NP_079359;Q96F86;H3BMB8;H3BNJ7;H3BPN4;H3BPW9;H3BQ37;H3BQA1;H3BQP5;H3BSQ0;H3BTD6;H3BTF8;H3BTH0;H3BU87;ENSP00000320503;ENSP00000497737;ENSP00000454885;ENSP00000401343;ENSP00000455580;ENSP00000455393;ENSP00000456805;ENSP00000457128;ENSP00000455503;ENSP00000455589;ENSP00000457523;ENSP00000455870;ENSP00000457170;ENSP00000454317;ENSP00000457156;ENSP00000455682
EDC4	23644	16	16q22.1	59	NP_055144;Q6P2E9;I3L0V0;I3L2F4;I3L3M2;ENSP00000351811;ENSP00000459624;ENSP00000458357;ENSP00000460563
EDEM2	55741	20	20q11.22	16	NP_001138497;NP_060687;Q9BV94;ENSP00000363615;ENSP00000363616
EDEM3	80267	1	1q25.3	33	XP_005245556;XP_011508314;XP_054194843;XP_054194844;NP_001306889;NP_079467;Q9BZQ6;A0A8I5KR65;A0A8I5KSQ8;A0A8I5KTR7;A0A8I5KVE6;A0A8I5KWI4;A0A8J8YX80;A0A8I5KU04;H0Y498;ENSP00000318147;ENSP00000356482;ENSP00000390536;ENSP00000508800;ENSP00000509571;ENSP00000509786;ENSP00000510056;ENSP00000508618;ENSP00000508652
EDF1	8721	9	9q34.3	50	NP_001268226;NP_001268227;NP_001268228;NP_003783;NP_694880;O60869;ENSP00000360712;ENSP00000224073;ENSP00000360711
EDIL3	10085	5	5q14.3	18	NP_001265571;NP_005702;O43854;ENSP00000296591;ENSP00000369483
EDRF1	26098	10	10q26.2	15	XP_011537924;XP_047280991;XP_047280992;XP_047280993;XP_047280995;XP_047280996;XP_054221490;XP_054221491;XP_054221492;XP_054221493;XP_054221494;XP_054221495;NP_001189367;NP_056423;Q3B7T1;E9PJ07;H0Y353;H0YCQ0;H0YCS2;ENSP00000396544;ENSP00000431902;ENSP00000357805;ENSP00000336727;ENSP00000349244;ENSP00000432229;ENSP00000357803;ENSP00000432102
EEA1	8411	12	12q22	57	XP_011537116;XP_054229406;XP_054229407;NP_003557;Q15075;F8VUZ7;F8W119;F8WE79;ENSP00000317955;ENSP00000394312;ENSP00000446785;ENSP00000449682
EED	8726	11	11q14.2	36	XP_011543632;XP_011543633;XP_016874001;XP_016874002;XP_047283757;XP_047283758;XP_047283759;XP_054226332;XP_054226333;XP_054226334;XP_054226335;XP_054226336;XP_054226337;XP_054226338;NP_001294936;NP_001317263;NP_003788;O75530;A0A5F9ZI63;E9PJK2;E9PMU3;H0YEL4;ENSP00000431778;ENSP00000263360;ENSP00000500834;ENSP00000500914;ENSP00000315587;ENSP00000338186;ENSP00000436084;ENSP00000437318
EEF1A1	1915	6	6q13	64	XP_054210402;NP_001393;P68104;A0A087WV01;A0A087WVQ9;A0A7I2V3H3;A0A7I2V5N4;A0A7I2V659;A6PW80;Q5JR01;ENSP00000503518;ENSP00000339063;ENSP00000339053;ENSP00000479609;ENSP00000479055;ENSP00000503249;ENSP00000504335;ENSP00000504630;ENSP00000330054;ENSP00000348651;ENSP00000392366;ENSP00000503192;ENSP00000503823;ENSP00000504801
EEF1A2	1917	20	20q13.33	39	NP_001949;Q05639;A0A2U3TZH3;A0A2R8Y488;A0A2R8Y660;A0A2R8YDN5;A0A6Q8PFK6;ENSP00000501859;ENSP00000217182;ENSP00000298049;ENSP00000493767;ENSP00000494971;ENSP00000494752
EEF1AKMT1	221143	13	13q12.11	21	XP_016875921;XP_054230180;NP_001305868;NP_777588;Q8WVE0;ENSP00000372206;ENSP00000372202
EEF1AKMT2	399818	10	10q26.13	37	NP_001291396;NP_001291397;NP_001403172;NP_997719;Q5JPI9;A0A494BZY7;G3V238;M0QZ67;ENSP00000470332;ENSP00000498289;ENSP00000451190;ENSP00000357829;ENSP00000450447
EEF1AKMT4	110599564	3	3q27.1	4	NP_115707;P0DPD7;ENSP00000314295
EEF1B2	1933	2	2q33.3	63	NP_001032752;NP_001950;NP_066944;P24534;C9JZW3;F2Z2G2;F8WF65;F8WFC9;ENSP00000236957;ENSP00000376055;ENSP00000407730;ENSP00000397793;ENSP00000376056;ENSP00000393501;ENSP00000399917;ENSP00000387407
EEF1D	1936	8	8q24.3	63	XP_005250880;XP_006716582;XP_006716583;XP_006716585;XP_006716587;XP_006716588;XP_016868660;XP_024302856;XP_047277376;XP_047277377;XP_047277378;XP_047277379;XP_047277380;XP_047277381;XP_047277382;XP_047277383;XP_047277384;XP_047277385;XP_047277386;XP_047277387;XP_047277388;XP_047277389;XP_047277390;XP_047277391;XP_047277392;XP_047277393;XP_047277394;XP_047277395;XP_047277396;XP_047277397;XP_047277398;XP_047277399;XP_047277400;XP_047277401;XP_047277402;XP_047277403;XP_047277404;XP_047277405;XP_047277406;XP_047277407;XP_047277408;XP_047277409;XP_047277410;XP_047277411;XP_054184689;XP_054184690;XP_054184691;XP_054184692;XP_054184693;XP_054184694;XP_054184695;XP_054184696;XP_054184697;XP_054184698;XP_054184699;XP_054184700;XP_054184701;XP_054184702;XP_054184703;XP_054184704;XP_054184705;XP_054184706;XP_054184707;XP_054184708;XP_054184709;XP_054184710;XP_054184711;XP_054184712;XP_054184713;XP_054184714;XP_054184715;XP_054184716;XP_054184717;XP_054184718;XP_054184719;XP_054184720;XP_054184721;XP_054184722;XP_054184723;XP_054215886;XP_054215887;XP_054215888;XP_054215889;XP_054215890;XP_054215891;XP_054215892;XP_054215893;XP_054215894;XP_054215895;XP_054215896;XP_054215897;XP_054215898;XP_054215899;XP_054215900;XP_054215901;XP_054215902;XP_054215903;XP_054215904;XP_054215905;XP_054215906;XP_054215907;XP_054215908;XP_054215909;XP_054215910;XP_054215911;XP_054215912;XP_054215913;XP_054215914;XP_054215915;XP_054215916;XP_054215917;XP_054215918;XP_054215919;XP_054215920;NP_001123525;NP_001123527;NP_001123528;NP_001123529;NP_001182132;NP_001276879;NP_001304672;NP_001317575;NP_001951;NP_115754;P29692;A0A087X1X7;E9PJV8;E9PK01;E9PN56;E9PN71;E9PPY1;E9PQR8;E9PRL0;E9PRY8;A0A0J9YXU2;A0A8C8L741;E9PI39;E9PI93;E9PIP5;E9PIZ1;E9PJ84;E9PJD0;E9PK06;E9PK72;E9PKH7;E9PKK3;E9PL12;E9PL21;E9PL71;E9PLA1;E9PLL8;E9PLS6;E9PLT8;E9PM66;E9PMW7;E9PN91;E9PNC8;E9PNW6;E9PPR1;E9PQ49;E9PQC9;E9PQZ1;H0YCK7;H0YE58;ENSP00000317399;ENSP00000433784;ENSP00000435015;ENSP00000434070;ENSP00000436507;ENSP00000391944;ENSP00000484536;ENSP00000431763;ENSP00000432881;ENSP00000378551;ENSP00000434872;ENSP00000436045;ENSP00000432429;ENSP00000436933;ENSP00000433611;ENSP00000433412;ENSP00000434448;ENSP00000388261;ENSP00000431742;ENSP00000431460;ENSP00000436542;ENSP00000435697;ENSP00000437276;ENSP00000436880;ENSP00000431833;ENSP00000431933;ENSP00000435477;ENSP00000431613;ENSP00000434123;ENSP00000437117;ENSP00000410059;ENSP00000434389;ENSP00000432221;ENSP00000432919;ENSP00000432941;ENSP00000433698;ENSP00000436251;ENSP00000437223;ENSP00000433520;ENSP00000431401;ENSP00000431285;ENSP00000433101;ENSP00000431307;ENSP00000436718;ENSP00000435719;ENSP00000435617;ENSP00000433398;ENSP00000433255
EEF1E1	9521	6	6p24.3	41	NP_001129122;NP_004271;O43324;D6RBD7;D6RCQ0;H0YAH9;H0YAL7;ENSP00000414363;ENSP00000427572;ENSP00000369038;ENSP00000424222;ENSP00000427143;ENSP00000425577
EEF1G	1937	11	11q12.3	59	NP_001395;P26641;ENSP00000331901
EEF2	1938	19	19p13.3	64	NP_001952;P13639;M0R0I6;ENSP00000471265;ENSP00000307940
EEF2K	29904	16	16p12.2	52	NP_037434;O00418;H3BRH4;ENSP00000263026;ENSP00000456243
EEF2KMT	196483	16	16p13.3	7	XP_005255214;XP_005255215;XP_011520706;XP_054235716;XP_054235717;XP_054235718;NP_001275958;NP_958802;NP_963892;Q96G04;K7EIJ3;K7EQE4;K7ES84;ENSP00000398502;ENSP00000389710;ENSP00000464781;ENSP00000464773;ENSP00000468599;ENSP00000467790
EEFSEC	60678	3	3q21.3	47	XP_005247753;XP_024309460;XP_024309461;XP_024309463;XP_024309464;XP_047304612;XP_047304613;XP_047304614;XP_047304615;XP_047304616;XP_054188350;XP_054188351;XP_054188352;XP_054188353;XP_054188354;XP_054188355;XP_054188356;XP_054188357;XP_054188358;XP_054188359;XP_054188360;XP_054203406;XP_054203407;XP_054203408;XP_054203409;XP_054203410;XP_054203411;XP_054203412;XP_054203413;XP_054203414;XP_054203415;XP_054203416;XP_054203417;NP_068756;P57772;C9J8T0;ENSP00000254730;ENSP00000417660
EEIG1	399665	9	9q34.11	35	NP_001030331;NP_976050;Q5T9C2;ENSP00000362187;ENSP00000362176
EEIG2	284611	1	1p13.3	38	NP_001010883;Q5T8I3;ENSP00000386084;ENSP00000359052
EEPD1	80820	7	7p14.2	45	NP_085139;Q7L9B9;H7C4A5;ENSP00000242108;ENSP00000442692;ENSP00000416373
EFCAB14	9813	1	1p33	27	NP_055589;O75071;A0A6I8PIF8;A0A6I8PIP2;A0A6I8PS42;A0A6I8PU78;A0A804H3B5;S4R3Q1;ENSP00000501525;ENSP00000361001;ENSP00000499873;ENSP00000501394;ENSP00000501323;ENSP00000474599;ENSP00000501464
EFCAB7	84455	1	1p31.3	24	XP_006711039;XP_006711040;XP_011540603;XP_047288085;XP_054195172;XP_054195173;XP_054195174;XP_054195175;NP_115813;A8K855;ENSP00000360129
EFCC1	79825	3	3q21.3	16	XP_011511463;XP_011511465;XP_011511466;XP_047304919;XP_054203890;XP_054203891;XP_054203892;XP_054203893;NP_001364429;NP_001364430;NP_079044;Q9HA90;A0A804HK68;ENSP00000507795;ENSP00000414597
EFEMP1	2202	2	2p16.1	49	XP_005264262;XP_016859075;XP_054197007;XP_054197008;NP_001034437;NP_001034438;Q12805;A0A0U1RQV3;A0A0U1RRL0;C9J4H7;C9J4J8;C9J8S9;C9JPZ9;C9JQX7;C9JUM4;Q580Q6;ENSP00000347596;ENSP00000378058;ENSP00000489578;ENSP00000489183;ENSP00000392055;ENSP00000408195;ENSP00000398345;ENSP00000389319;ENSP00000399480;ENSP00000405686;ENSP00000398387
EFEMP2	30008	11	11q13.1	38	NP_058634;O95967;E9PI47;E9PKA3;E9PNB8;E9PRQ8;E9PRU1;E9PSC1;H0YCB5;H0YCR9;H0YET5;H0YEU0;ENSP00000431305;ENSP00000309953;ENSP00000435295;ENSP00000436536;ENSP00000436521;ENSP00000434151;ENSP00000432191;ENSP00000436526;ENSP00000435823;ENSP00000435419;ENSP00000435963;ENSP00000437238
EFHD1	80303	2	2q37.1	31	NP_001230181;NP_001295324;NP_079478;Q9BUP0;C9JTV4;H7C0I0;Q8WYH2;ENSP00000386556;ENSP00000264059;ENSP00000395119;ENSP00000386243;ENSP00000401073;ENSP00000386685
EFHD2	79180	1	1p36.21	59	XP_005246057;XP_047286189;XP_054194666;XP_054194667;NP_077305;Q96C19;H0Y4Y4;ENSP00000365147;ENSP00000395153
EFL1	79631	15	15q25.2	43	XP_024305816;XP_024305816;XP_054234747;XP_054234747;NP_001035700;NP_001035700;NP_001309773;NP_001309773;NP_001309774;NP_001309774;NP_078856;NP_078856;Q7Z2Z2;Q7Z2Z2;A0A3B3ITU1;A0A3B3ITU1;A0A8Q3SIF5;A0A8Q3SIF5;A0A8Q3SIM9;A0A8Q3SIM9;A0A8Q3WL51;A0A8Q3WL51;H0YK75;H0YK75;H0YKI9;H0YKI9;H0YKY7;H0YKY7;H0YNW8;H0YNW8;ENSP00000352418;ENSP00000352418;ENSP00000512528;ENSP00000512528;ENSP00000512564;ENSP00000512564;ENSP00000512563;ENSP00000512563;ENSP00000268206;ENSP00000268206;ENSP00000512568;ENSP00000512568;ENSP00000497919;ENSP00000497919;ENSP00000452687;ENSP00000452687;ENSP00000452825;ENSP00000452825;ENSP00000454186;ENSP00000454186;ENSP00000452990;ENSP00000452990
EFNA1	1942	1	1q22	21	NP_004419;NP_872626;P20827;ENSP00000357391;ENSP00000357392
EFNA5	1946	5	5q21.3	13	XP_011541552;NP_001397702;NP_001953;P52803;D6RDV5;ENSP00000328777;ENSP00000426989
EFNB1	1947	X	Xq13.1	41	NP_004420;P98172;ENSP00000204961
EFNB2	1948	13	13q33.3	24	XP_016875895;XP_054230125;NP_001358985;NP_001358986;NP_001358987;NP_004084;P52799;ENSP00000493716
EFR3A	23167	8	8q24.22	50	XP_047277559;XP_047277560;XP_054216146;NP_001310482;NP_001310483;NP_001310484;NP_001310485;NP_001310486;NP_001310487;NP_055952;Q14156;A0A1B0GUZ7;E5RFJ2;E5RJS1;ENSP00000254624;ENSP00000430512;ENSP00000490312;ENSP00000428844;ENSP00000428086
EFS	10278	14	14q11.2	34	XP_005267313;XP_054231244;NP_001264103;NP_001372536;NP_005855;NP_115835;O43281;ENSP00000416684;ENSP00000216733;ENSP00000340607
EFTUD2	9343	17	17q21.31	59	XP_047293040;XP_054173794;NP_001136077;NP_001245282;NP_001245283;NP_004238;Q15029;K7EIT3;K7EIV5;K7EJ74;K7EP67;K7EQ26;K7ERJ5;ENSP00000392094;ENSP00000465058;ENSP00000467805;ENSP00000467249;ENSP00000385873;ENSP00000465051;ENSP00000468284;ENSP00000467639;ENSP00000464882;ENSP00000464908
EGFL7	51162	9	9q34.3	16	XP_006717204;XP_011517069;XP_011517070;XP_016870284;XP_016870285;XP_016870287;XP_016870288;XP_047279407;XP_047279408;XP_047279409;XP_054219040;XP_054219041;XP_054219042;XP_054219043;XP_054219044;XP_054219045;XP_054219046;XP_054219047;XP_054219048;XP_054219049;NP_057299;NP_958854;Q9UHF1;R4GMT3;ENSP00000360764;ENSP00000307843;ENSP00000385639;ENSP00000473338;ENSP00000360763
